,jetbrains/kotlin,scala/scala,apache/groovy
2015-07-22,28,3,2
2015-07-23,30,27,2
2015-07-24,43,6,1
2015-07-25,0,1,0
2015-07-26,0,1,1
2015-07-27,13,8,0
2015-07-28,47,8,0
2015-07-29,45,6,0
2015-07-30,30,2,4
2015-07-31,28,1,0
2015-08-01,0,2,6
2015-08-02,0,2,1
2015-08-03,28,0,0
2015-08-04,22,5,0
2015-08-05,8,7,0
2015-08-06,24,11,2
2015-08-07,51,2,0
2015-08-08,1,3,1
2015-08-09,1,1,0
2015-08-10,41,2,0
2015-08-11,29,4,0
2015-08-12,9,0,0
2015-08-13,9,1,0
2015-08-14,14,1,0
2015-08-15,7,0,0
2015-08-16,0,0,0
2015-08-17,12,1,0
2015-08-18,35,4,0
2015-08-19,48,4,2
2015-08-20,7,5,5
2015-08-21,15,3,1
2015-08-22,0,0,1
2015-08-23,10,5,0
2015-08-24,42,7,0
2015-08-25,24,0,0
2015-08-26,29,0,0
2015-08-27,40,8,5
2015-08-28,51,9,0
2015-08-29,9,2,0
2015-08-30,0,0,2
2015-08-31,81,8,4
2015-09-01,31,3,16
2015-09-02,38,18,0
2015-09-03,62,4,0
2015-09-04,54,2,0
2015-09-05,0,0,0
2015-09-06,7,3,3
2015-09-07,150,0,0
2015-09-08,153,15,3
2015-09-09,49,8,0
2015-09-10,52,3,0
2015-09-11,35,1,0
2015-09-12,10,1,0
2015-09-13,1,0,7
2015-09-14,27,9,0
2015-09-15,22,5,0
2015-09-16,18,5,0
2015-09-17,6,16,0
2015-09-18,89,13,0
2015-09-19,9,3,0
2015-09-20,0,2,0
2015-09-21,54,21,4
2015-09-22,38,9,0
2015-09-23,45,6,0
2015-09-24,28,7,0
2015-09-25,170,7,0
2015-09-26,2,0,5
2015-09-27,3,0,0
2015-09-28,19,2,36
2015-09-29,43,4,0
2015-09-30,29,8,3
2015-10-01,88,0,6
2015-10-02,30,2,0
2015-10-03,51,1,0
2015-10-04,2,0,0
2015-10-05,27,11,3
2015-10-06,26,5,0
2015-10-07,123,4,6
2015-10-08,35,8,1
2015-10-09,76,4,1
2015-10-10,9,2,3
2015-10-11,48,0,5
2015-10-12,34,1,2
2015-10-13,46,2,0
2015-10-14,84,3,0
2015-10-15,61,3,21
2015-10-16,97,2,5
2015-10-17,11,0,1
2015-10-18,12,0,5
2015-10-19,172,0,3
2015-10-20,32,9,1
2015-10-21,34,5,7
2015-10-22,41,1,4
2015-10-23,5,0,8
2015-10-24,13,0,5
2015-10-25,1,2,3
2015-10-26,70,2,1
2015-10-27,34,19,0
2015-10-28,53,2,4
2015-10-29,29,5,2
2015-10-30,58,1,1
2015-10-31,9,1,2
2015-11-01,0,0,8
2015-11-02,67,4,2
2015-11-03,40,0,3
2015-11-04,52,2,1
2015-11-05,50,3,0
2015-11-06,46,8,2
2015-11-07,0,1,1
2015-11-08,0,0,1
2015-11-09,43,0,1
2015-11-10,66,10,2
2015-11-11,47,9,0
2015-11-12,30,12,4
2015-11-13,27,11,0
2015-11-14,0,1,2
2015-11-15,0,0,3
2015-11-16,23,1,0
2015-11-17,32,2,2
2015-11-18,60,3,2
2015-11-19,42,2,3
2015-11-20,50,3,1
2015-11-21,4,0,0
2015-11-22,0,1,1
2015-11-23,32,11,0
2015-11-24,28,12,0
2015-11-25,31,6,3
2015-11-26,20,3,0
2015-11-27,56,13,0
2015-11-28,6,0,2
2015-11-29,4,0,0
2015-11-30,50,1,1
2015-12-01,44,0,2
2015-12-02,55,0,1
2015-12-03,10,0,0
2015-12-04,7,0,1
2015-12-05,1,2,1
2015-12-06,0,1,3
2015-12-07,13,0,0
2015-12-08,33,0,1
2015-12-09,54,0,1
2015-12-10,33,2,0
2015-12-11,32,3,4
2015-12-12,7,1,1
2015-12-13,6,6,1
2015-12-14,51,0,0
2015-12-15,50,7,0
2015-12-16,6,2,1
2015-12-17,53,1,1
2015-12-18,52,9,0
2015-12-19,18,0,0
2015-12-20,0,0,4
2015-12-21,20,0,2
2015-12-22,8,2,1
2015-12-23,27,0,2
2015-12-24,6,0,0
2015-12-25,38,0,1
2015-12-26,10,0,1
2015-12-27,0,0,0
2015-12-28,21,0,5
2015-12-29,37,0,2
2015-12-30,17,0,0
2015-12-31,1,1,2
2016-01-01,0,0,4
2016-01-02,0,0,0
2016-01-03,0,1,0
2016-01-04,0,3,2
2016-01-05,1,1,6
2016-01-06,0,0,5
2016-01-07,12,1,0
2016-01-08,4,0,1
2016-01-09,0,0,0
2016-01-10,0,0,0
2016-01-11,7,0,2
2016-01-12,44,2,1
2016-01-13,64,7,0
2016-01-14,56,4,1
2016-01-15,28,0,5
2016-01-16,2,1,2
2016-01-17,15,13,0
2016-01-18,23,3,0
2016-01-19,81,5,2
2016-01-20,18,4,2
2016-01-21,53,2,1
2016-01-22,111,0,0
2016-01-23,2,3,0
2016-01-24,3,3,2
2016-01-25,18,23,2
2016-01-26,37,4,3
2016-01-27,32,3,2
2016-01-28,53,3,2
2016-01-29,17,12,3
2016-01-30,3,1,1
2016-01-31,0,1,4
2016-02-01,46,10,0
2016-02-02,30,1,0
2016-02-03,30,14,4
2016-02-04,17,6,0
2016-02-05,15,2,8
2016-02-06,7,7,1
2016-02-07,1,1,0
2016-02-08,34,2,1
2016-02-09,20,5,1
2016-02-10,24,11,3
2016-02-11,23,6,3
2016-02-12,5,5,0
2016-02-13,10,4,1
2016-02-14,2,1,0
2016-02-15,11,8,9
2016-02-16,21,3,3
2016-02-17,25,11,1
2016-02-18,12,6,1
2016-02-19,17,2,0
2016-02-20,37,1,1
2016-02-21,5,1,7
2016-02-22,1,16,0
2016-02-23,2,13,2
2016-02-24,15,2,0
2016-02-25,20,4,9
2016-02-26,41,3,0
2016-02-27,15,1,0
2016-02-28,1,0,1
2016-02-29,1,0,3
2016-03-01,11,4,0
2016-03-02,55,4,2
2016-03-03,90,2,10
2016-03-04,23,9,4
2016-03-05,0,0,4
2016-03-06,0,1,4
2016-03-07,2,3,6
2016-03-08,12,1,0
2016-03-09,16,12,1
2016-03-10,22,0,1
2016-03-11,15,1,9
2016-03-12,1,0,2
2016-03-13,1,2,0
2016-03-14,28,45,1
2016-03-15,15,7,7
2016-03-16,31,5,0
2016-03-17,3,5,0
2016-03-18,25,4,2
2016-03-19,0,0,0
2016-03-20,0,1,0
2016-03-21,5,10,0
2016-03-22,4,6,2
2016-03-23,8,13,1
2016-03-24,33,0,1
2016-03-25,26,5,0
2016-03-26,0,9,0
2016-03-27,0,18,0
2016-03-28,18,3,0
2016-03-29,40,11,0
2016-03-30,73,18,0
2016-03-31,30,7,2
2016-04-01,13,4,0
2016-04-02,0,0,0
2016-04-03,1,4,3
2016-04-04,77,8,1
2016-04-05,61,0,0
2016-04-06,20,1,2
2016-04-07,7,5,0
2016-04-08,79,1,0
2016-04-09,8,1,3
2016-04-10,0,0,0
2016-04-11,10,0,0
2016-04-12,20,3,0
2016-04-13,7,9,10
2016-04-14,30,1,0
2016-04-15,30,2,0
2016-04-16,0,0,0
2016-04-17,1,0,2
2016-04-18,15,0,0
2016-04-19,35,1,0
2016-04-20,59,14,0
2016-04-21,29,2,3
2016-04-22,27,14,4
2016-04-23,11,4,3
2016-04-24,1,0,4
2016-04-25,63,2,0
2016-04-26,24,1,0
2016-04-27,42,4,2
2016-04-28,24,5,0
2016-04-29,40,1,4
2016-04-30,0,0,1
2016-05-01,0,0,1
2016-05-02,0,11,1
2016-05-03,1,10,3
2016-05-04,12,3,0
2016-05-05,34,6,0
2016-05-06,18,3,0
2016-05-07,0,0,3
2016-05-08,1,0,0
2016-05-09,0,0,2
2016-05-10,22,3,0
2016-05-11,39,6,0
2016-05-12,17,2,0
2016-05-13,24,5,0
2016-05-14,8,2,0
2016-05-15,4,0,0
2016-05-16,12,3,0
2016-05-17,9,20,0
2016-05-18,21,5,1
2016-05-19,23,8,0
2016-05-20,29,17,2
2016-05-21,0,5,0
2016-05-22,0,0,2
2016-05-23,27,15,1
2016-05-24,24,11,1
2016-05-25,35,9,1
2016-05-26,41,3,1
2016-05-27,6,7,4
2016-05-28,0,2,0
2016-05-29,0,2,0
2016-05-30,4,6,2
2016-05-31,8,4,5
2016-06-01,16,14,3
2016-06-02,21,6,1
2016-06-03,21,7,2
2016-06-04,0,2,4
2016-06-05,2,0,0
2016-06-06,11,14,0
2016-06-07,92,2,1
2016-06-08,55,0,0
2016-06-09,56,0,0
2016-06-10,26,1,0
2016-06-11,0,0,0
2016-06-12,1,1,0
2016-06-13,9,0,0
2016-06-14,4,5,2
2016-06-15,19,0,1
2016-06-16,13,3,0
2016-06-17,6,1,0
2016-06-18,3,0,1
2016-06-19,13,4,0
2016-06-20,13,2,0
2016-06-21,36,3,1
2016-06-22,13,0,0
2016-06-23,13,2,1
2016-06-24,32,0,0
2016-06-25,44,1,4
2016-06-26,0,0,0
2016-06-27,27,2,1
2016-06-28,47,9,9
2016-06-29,26,4,2
2016-06-30,22,0,6
2016-07-01,11,0,3
2016-07-02,0,0,2
2016-07-03,5,0,2
2016-07-04,30,1,3
2016-07-05,23,3,0
2016-07-06,15,3,0
2016-07-07,16,5,2
2016-07-08,21,2,2
2016-07-09,3,1,2
2016-07-10,1,0,2
2016-07-11,32,0,2
2016-07-12,38,4,0
2016-07-13,31,7,0
2016-07-14,56,2,0
2016-07-15,18,6,2
2016-07-16,2,3,3
2016-07-17,0,0,3
2016-07-18,31,8,5
2016-07-19,35,2,1
2016-07-20,60,5,1
2016-07-21,35,5,2
