,apple/swift,rust-lang/rust,JetBrains/kotlin
2024-01-17,85,71,59
2024-01-18,59,98,46
2024-01-19,49,131,55
2024-01-20,28,81,1
2024-01-21,10,80,0
2024-01-22,41,122,42
2024-01-23,47,87,39
2024-01-24,71,57,43
2024-01-25,52,85,22
2024-01-26,78,117,46
2024-01-27,17,57,1
2024-01-28,12,50,1
2024-01-29,50,71,45
2024-01-30,82,114,49
2024-01-31,60,81,52
2024-02-01,104,33,24
2024-02-02,101,52,23
2024-02-03,35,42,0
2024-02-04,9,54,0
2024-02-05,47,80,29
2024-02-06,63,83,23
2024-02-07,55,91,27
2024-02-08,54,122,47
2024-02-09,86,161,64
2024-02-10,33,86,4
2024-02-11,20,113,10
2024-02-12,69,141,52
2024-02-13,55,151,54
2024-02-14,62,100,53
2024-02-15,82,107,58
2024-02-16,46,114,17
2024-02-17,24,119,0
2024-02-18,4,87,7
2024-02-19,30,128,67
2024-02-20,66,120,42
2024-02-21,101,125,49
2024-02-22,105,115,40
2024-02-23,50,93,46
2024-02-24,69,73,0
2024-02-25,18,94,10
2024-02-26,53,126,61
2024-02-27,76,134,69
2024-02-28,66,109,98
2024-02-29,77,161,41
2024-03-01,113,120,31
2024-03-02,79,73,1
2024-03-03,24,87,1
2024-03-04,39,117,45
2024-03-05,80,162,52
2024-03-06,94,127,48
2024-03-07,103,105,56
2024-03-08,70,110,38
2024-03-09,43,114,32
2024-03-10,15,112,3
2024-03-11,76,137,62
2024-03-12,97,126,71
2024-03-13,108,107,52
2024-03-14,72,160,79
2024-03-15,82,91,61
2024-03-16,41,77,3
2024-03-17,2,117,0
2024-03-18,107,111,32
2024-03-19,76,124,46
2024-03-20,66,98,50
2024-03-21,78,126,41
2024-03-22,60,165,40
2024-03-23,17,114,2
2024-03-24,17,109,0
2024-03-25,36,112,31
2024-03-26,54,98,46
2024-03-27,86,123,29
2024-03-28,62,85,49
2024-03-29,64,59,10
2024-03-30,28,64,0
2024-03-31,5,77,4
2024-04-01,24,81,1
2024-04-02,44,83,53
2024-04-03,63,109,56
2024-04-04,51,103,58
2024-04-05,64,87,25
2024-04-06,12,95,0
2024-04-07,4,55,1
2024-04-08,59,115,31
2024-04-09,57,86,31
2024-04-10,43,96,24
2024-04-11,50,118,29
2024-04-12,35,83,54
2024-04-13,13,56,2
2024-04-14,5,91,0
2024-04-15,20,144,42
2024-04-16,53,177,68
2024-04-17,31,105,59
2024-04-18,50,77,70
2024-04-19,58,99,64
2024-04-20,9,98,0
2024-04-21,7,70,0
2024-04-22,42,78,51
2024-04-23,39,90,52
2024-04-24,34,97,42
2024-04-25,44,82,57
2024-04-26,47,62,37
2024-04-27,8,66,7
2024-04-28,2,73,0
2024-04-29,40,87,36
2024-04-30,59,78,31
2024-05-01,59,42,2
2024-05-02,60,115,46
2024-05-03,37,100,14
2024-05-04,21,139,0
2024-05-05,0,75,0
2024-05-06,42,82,36
2024-05-07,54,41,55
2024-05-08,44,80,60
2024-05-09,48,78,9
2024-05-10,54,80,33
2024-05-11,14,125,0
2024-05-12,5,84,4
2024-05-13,34,81,51
2024-05-14,41,78,35
2024-05-15,43,83,76
2024-05-16,68,66,33
2024-05-17,86,72,31
2024-05-18,12,59,5
2024-05-19,3,79,2
2024-05-20,44,130,8
2024-05-21,77,92,47
2024-05-22,74,88,47
2024-05-23,50,123,33
2024-05-24,41,92,13
2024-05-25,15,58,3
2024-05-26,12,50,0
2024-05-27,14,77,68
2024-05-28,74,86,71
2024-05-29,51,111,105
2024-05-30,52,76,67
2024-05-31,63,53,31
2024-06-01,17,46,6
2024-06-02,16,50,0
2024-06-03,55,70,34
2024-06-04,50,129,70
2024-06-05,63,147,43
2024-06-06,62,95,30
2024-06-07,34,123,94
2024-06-08,9,66,1
2024-06-09,2,95,0
2024-06-10,45,63,35
2024-06-11,61,133,66
2024-06-12,85,136,24
2024-06-13,62,143,28
2024-06-14,61,87,34
2024-06-15,23,64,1
2024-06-16,8,91,9
2024-06-17,35,102,88
2024-06-18,67,106,80
2024-06-19,50,146,84
2024-06-20,36,87,38
2024-06-21,78,118,89
2024-06-22,21,84,17
2024-06-23,4,80,1
2024-06-24,32,122,69
2024-06-25,61,101,57
2024-06-26,69,55,45
2024-06-27,46,70,42
2024-06-28,53,110,54
2024-06-29,19,98,23
2024-06-30,14,93,4
2024-07-01,52,87,60
2024-07-02,65,120,95
2024-07-03,82,89,34
2024-07-04,43,118,19
2024-07-05,25,113,48
2024-07-06,31,99,1
2024-07-07,33,164,0
2024-07-08,64,96,37
2024-07-09,75,75,56
2024-07-10,65,77,49
2024-07-11,98,56,33
2024-07-12,34,102,30
2024-07-13,22,46,4
2024-07-14,10,65,0
2024-07-15,48,100,36
2024-07-16,43,117,53
2024-07-17,17,152,39
2024-07-18,53,141,50
2024-07-19,39,150,14
2024-07-20,26,76,1
2024-07-21,4,50,0
2024-07-22,36,129,72
2024-07-23,53,76,37
2024-07-24,64,95,45
2024-07-25,80,139,53
2024-07-26,34,119,29
2024-07-27,25,81,2
2024-07-28,7,71,0
2024-07-29,84,133,34
2024-07-30,60,94,43
2024-07-31,63,85,24
2024-08-01,59,80,18
2024-08-02,56,57,39
2024-08-03,18,102,0
2024-08-04,9,61,0
2024-08-05,52,129,50
2024-08-06,53,94,25
2024-08-07,70,135,54
2024-08-08,69,108,14
2024-08-09,47,96,22
2024-08-10,16,104,1
2024-08-11,0,57,1
2024-08-12,33,141,41
2024-08-13,32,135,21
2024-08-14,36,82,50
2024-08-15,30,62,12
2024-08-16,31,68,17
2024-08-17,21,72,0
2024-08-18,11,72,0
2024-08-19,52,70,25
2024-08-20,63,65,34
2024-08-21,60,67,93
2024-08-22,45,84,38
2024-08-23,30,63,27
2024-08-24,16,84,3
2024-08-25,10,83,0
2024-08-26,36,73,28
2024-08-27,30,117,51
2024-08-28,37,85,33
2024-08-29,52,105,55
2024-08-30,52,62,22
2024-08-31,21,100,4
2024-09-01,12,60,0
2024-09-02,27,86,55
2024-09-03,71,88,104
2024-09-04,118,36,33
2024-09-05,56,96,58
2024-09-06,65,92,76
2024-09-07,18,65,1
2024-09-08,16,49,0
2024-09-09,36,121,39
2024-09-10,46,74,27
2024-09-11,49,94,22
2024-09-12,34,88,31
2024-09-13,41,66,20
2024-09-14,15,61,14
2024-09-15,4,85,5
2024-09-16,39,55,23
2024-09-17,59,96,43
2024-09-18,49,91,33
2024-09-19,62,114,49
2024-09-20,49,71,35
2024-09-21,9,77,102
2024-09-22,11,88,1
2024-09-23,24,114,60
2024-09-24,51,139,40
2024-09-25,68,96,38
2024-09-26,36,65,56
2024-09-27,52,101,59
2024-09-28,28,83,7
2024-09-29,5,74,7
2024-09-30,38,63,27
2024-10-01,55,74,25
2024-10-02,63,62,32
2024-10-03,49,92,18
2024-10-04,28,87,17
2024-10-05,6,90,5
2024-10-06,6,85,0
2024-10-07,64,91,67
2024-10-08,77,78,36
2024-10-09,43,86,73
2024-10-10,39,93,38
2024-10-11,70,73,30
2024-10-12,18,75,0
2024-10-13,10,76,1
2024-10-14,23,98,40
2024-10-15,33,80,40
2024-10-16,41,79,54
2024-10-17,69,77,49
2024-10-18,47,84,22
2024-10-19,21,88,1
2024-10-20,17,80,0
2024-10-21,33,65,14
2024-10-22,60,111,26
2024-10-23,38,96,19
2024-10-24,36,94,14
2024-10-25,37,79,21
2024-10-26,18,86,1
2024-10-27,1,61,0
2024-10-28,32,137,25
2024-10-29,48,95,24
2024-10-30,41,97,53
2024-10-31,49,99,20
2024-11-01,43,105,3
2024-11-02,15,106,1
2024-11-03,17,98,0
2024-11-04,20,96,26
2024-11-05,57,70,26
2024-11-06,52,34,53
2024-11-07,92,97,45
2024-11-08,51,70,38
2024-11-09,27,69,5
2024-11-10,8,77,0
2024-11-11,37,63,47
2024-11-12,80,93,39
2024-11-13,57,58,53
2024-11-14,50,76,53
2024-11-15,53,60,18
2024-11-16,19,41,7
2024-11-17,7,43,0
2024-11-18,35,97,44
2024-11-19,46,113,53
2024-11-20,57,63,24
2024-11-21,56,66,30
2024-11-22,25,60,29
2024-11-23,0,74,0
2024-11-24,0,71,1
2024-11-25,2,74,41
2024-11-26,8,77,39
2024-11-27,12,63,75
2024-11-28,12,109,45
2024-11-29,8,62,33
2024-11-30,1,79,0
2024-12-01,0,66,4
2024-12-02,66,108,53
2024-12-03,54,88,55
2024-12-04,75,113,28
2024-12-05,53,122,54
2024-12-06,34,98,35
2024-12-07,23,40,0
2024-12-08,3,70,0
2024-12-09,30,89,59
2024-12-10,32,109,28
2024-12-11,37,110,30
2024-12-12,53,111,61
2024-12-13,65,85,24
2024-12-14,27,101,10
2024-12-15,27,75,3
2024-12-16,46,72,35
2024-12-17,103,88,15
2024-12-18,76,120,16
2024-12-19,63,81,63
2024-12-20,49,86,30
2024-12-21,38,81,0
2024-12-22,2,87,0
2024-12-23,8,51,7
2024-12-24,8,40,17
2024-12-25,3,40,1
2024-12-26,1,52,0
2024-12-27,6,85,0
2024-12-28,0,70,0
2024-12-29,4,104,0
2024-12-30,2,70,0
2024-12-31,2,107,2
2025-01-01,0,71,0
2025-01-02,42,66,17
2025-01-03,19,82,236
2025-01-04,10,45,0
2025-01-05,3,61,0
2025-01-06,24,120,18
2025-01-07,61,116,69
2025-01-08,68,92,52
2025-01-09,39,95,32
2025-01-10,45,116,50
2025-01-11,46,86,10
2025-01-12,12,130,1
2025-01-13,30,84,59
2025-01-14,46,98,52
2025-01-15,45,121,34
2025-01-16,48,94,36
2025-01-17,39,52,64
2025-01-18,4,70,1
2025-01-19,10,72,0
2025-01-20,13,115,31
2025-01-21,48,101,25
2025-01-22,67,108,37
2025-01-23,60,120,58
2025-01-24,27,146,21
2025-01-25,31,90,0
2025-01-26,14,108,2
2025-01-27,48,115,58
2025-01-28,62,127,63
2025-01-29,57,108,39
2025-01-30,42,125,15
2025-01-31,45,113,61
2025-02-01,29,94,0
2025-02-02,13,89,0
2025-02-03,33,134,47
2025-02-04,35,88,45
2025-02-05,56,107,50
2025-02-06,35,132,59
2025-02-07,45,135,78
2025-02-08,18,61,0
2025-02-09,22,76,0
2025-02-10,72,117,46
2025-02-11,38,119,24
2025-02-12,53,123,75
2025-02-13,65,120,47
2025-02-14,71,124,40
2025-02-15,26,118,9
2025-02-16,22,90,0
2025-02-17,33,111,50
2025-02-18,38,101,53
2025-02-19,32,114,94
2025-02-20,55,111,49
2025-02-21,31,96,44
2025-02-22,15,83,0
2025-02-23,9,90,0
2025-02-24,35,194,27
2025-02-25,65,93,99
2025-02-26,97,97,50
2025-02-27,59,89,44
2025-02-28,56,116,27
2025-03-01,23,97,0
2025-03-02,9,60,0
2025-03-03,39,125,37
2025-03-04,64,90,55
2025-03-05,44,130,15
2025-03-06,32,142,41
2025-03-07,84,109,41
2025-03-08,43,72,0
2025-03-09,7,61,0
2025-03-10,54,161,61
2025-03-11,72,108,66
2025-03-12,51,114,52
2025-03-13,83,102,51
2025-03-14,62,101,40
2025-03-15,18,78,12
2025-03-16,26,137,0
2025-03-17,52,123,79
2025-03-18,62,86,80
2025-03-19,127,83,44
2025-03-20,60,77,49
2025-03-21,50,110,56
2025-03-22,9,70,1
2025-03-23,12,63,0
2025-03-24,111,118,34
2025-03-25,71,97,48
2025-03-26,93,85,43
2025-03-27,111,92,86
2025-03-28,66,89,40
2025-03-29,21,51,1
2025-03-30,11,47,0
2025-03-31,54,71,30
2025-04-01,63,89,55
2025-04-02,37,103,74
2025-04-03,74,106,61
2025-04-04,53,95,47
2025-04-05,25,55,2
2025-04-06,9,55,0
2025-04-07,37,98,35
2025-04-08,51,92,68
2025-04-09,54,98,70
2025-04-10,42,131,38
2025-04-11,48,102,42
2025-04-12,12,71,11
2025-04-13,11,77,4
2025-04-14,39,121,84
2025-04-15,38,126,32
2025-04-16,38,126,53
2025-04-17,44,132,40
2025-04-18,58,93,7
2025-04-19,17,90,0
2025-04-20,5,105,0
2025-04-21,24,81,1
2025-04-22,37,102,111
2025-04-23,51,72,67
2025-04-24,31,103,56
2025-04-25,33,86,32
2025-04-26,26,65,0
2025-04-27,3,49,0
2025-04-28,35,99,45
2025-04-29,38,110,60
2025-04-30,60,81,39
2025-05-01,29,85,13
2025-05-02,20,86,7
2025-05-03,6,66,0
2025-05-04,18,41,0
2025-05-05,38,115,55
2025-05-06,43,95,70
2025-05-07,30,95,78
2025-05-08,39,91,43
2025-05-09,39,71,46
2025-05-10,10,56,0
2025-05-11,2,40,1
2025-05-12,28,65,44
2025-05-13,31,27,78
2025-05-14,45,49,35
2025-05-15,52,60,63
2025-05-16,25,73,25
2025-05-17,7,70,0
2025-05-18,8,75,0
2025-05-19,47,93,67
2025-05-20,40,97,43
2025-05-21,46,122,34
2025-05-22,41,84,14
2025-05-23,36,77,11
2025-05-24,11,77,1
2025-05-25,7,66,0
2025-05-26,3,112,18
2025-05-27,19,128,47
2025-05-28,23,129,7
2025-05-29,33,113,11
2025-05-30,56,107,18
2025-05-31,24,92,0
2025-06-01,6,48,0
2025-06-02,36,113,30
2025-06-03,61,151,46
2025-06-04,36,109,39
2025-06-05,49,93,33
2025-06-06,63,66,23
2025-06-07,23,77,1
2025-06-08,8,54,0
2025-06-09,35,120,2
2025-06-10,38,92,35
2025-06-11,36,88,31
2025-06-12,42,127,68
2025-06-13,16,121,20
2025-06-14,1,98,0
2025-06-15,2,62,0
2025-06-16,22,138,43
2025-06-17,69,127,27
2025-06-18,26,102,25
2025-06-19,31,101,38
2025-06-20,45,116,27
2025-06-21,7,71,0
2025-06-22,3,68,0
2025-06-23,51,108,23
2025-06-24,36,99,35
2025-06-25,37,97,14
2025-06-26,41,93,55
2025-06-27,48,104,33
2025-06-28,68,87,7
2025-06-29,4,83,10
2025-06-30,37,116,93
2025-07-01,64,127,30
2025-07-02,61,87,33
2025-07-03,32,124,38
2025-07-04,31,132,23
2025-07-05,6,83,0
2025-07-06,8,99,0
2025-07-07,32,122,84
2025-07-08,73,114,71
2025-07-09,48,94,63
2025-07-10,62,128,48
2025-07-11,53,105,55
2025-07-12,7,62,2
2025-07-13,3,80,2
2025-07-14,34,87,43
2025-07-15,57,107,72
2025-07-16,34,93,64
